event_id,timestamp,threat_type,region,device_type,failed_logins,network_packets,connections,port_scans,data_transfer,prediction,anomaly_score,risk_score,severity,threat_detected
EVT000001,2026-08-11 17:45:01.735196,Malware,Oceania,Desktop,4,566,91,0,97,1,-0.17722495526939414,11.438956065067554,Low,Normal
EVT000002,2026-08-11 17:53:01.735196,Phishing,Oceania,Server,1,230,26,0,353,1,-0.16469229076187225,14.773986321780333,Low,Normal
EVT000003,2026-08-11 18:01:01.735196,Unauthorized Access,North America,Firewall,2,376,37,0,31,1,-0.16991512458026553,13.384153473412761,Low,Normal
EVT000004,2026-08-11 18:09:01.735196,Malware,North America,Laptop,0,956,53,0,179,1,-0.1293246635405545,24.18556091714594,Low,Normal
EVT000005,2026-08-11 18:17:01.735196,Unauthorized Access,North America,Firewall,0,799,84,0,455,1,-0.11029303654539407,29.25001084519097,Low,Normal
EVT000006,2026-08-11 18:25:01.735196,Brute Force,Oceania,Firewall,3,230,55,0,338,1,-0.20088943652523739,5.141671002479133,Low,Normal
EVT000007,2026-08-11 18:33:01.735196,DDoS,Africa,Desktop,3,876,94,0,349,1,-0.16798008784194424,13.899080372339887,Low,Normal
EVT000008,2026-08-11 18:41:01.735196,Malware,Europe,Router,4,180,40,0,397,1,-0.18634150469470512,9.012978081536463,Low,Normal
EVT000009,2026-08-11 18:49:01.735196,Phishing,Europe,Desktop,3,802,22,0,171,1,-0.1989398365197118,5.6604732893362355,Low,Normal
EVT000010,2026-08-11 18:57:01.735196,DDoS,North America,Desktop,4,351,66,0,217,1,-0.19993108799377313,5.396694293575077,Low,Normal
EVT000011,2026-08-11 19:05:01.735196,Unauthorized Access,Asia,Server,5,256,19,0,354,1,-0.16208872146871678,15.466814440087532,Low,Normal
EVT000012,2026-08-11 19:13:01.735196,Unauthorized Access,North America,Router,3,238,85,0,428,1,-0.17236251882273662,12.732884635581271,Low,Normal
EVT000013,2026-08-11 19:21:01.735196,Ransomware,Oceania,Firewall,2,140,32,0,337,1,-0.17595386786689154,11.777201371460967,Low,Normal
EVT000014,2026-08-11 19:29:01.735196,Ransomware,Africa,Laptop,1,602,27,0,302,1,-0.18234043186326204,10.077691729952207,Low,Normal
EVT000015,2026-08-11 19:37:01.735196,Malware,Oceania,Laptop,4,561,7,0,227,1,-0.17881401265613817,11.016096707325744,Low,Normal
EVT000016,2026-08-11 19:45:01.735196,Malware,Europe,Server,2,306,19,0,389,1,-0.1686615782735758,13.71773097071923,Low,Normal
EVT000017,2026-08-11 19:53:01.735196,DDoS,Oceania,Desktop,1,842,56,0,397,1,-0.1662129838797245,14.369319177282188,Low,Normal
EVT000018,2026-08-11 20:01:01.735196,Ransomware,Europe,Desktop,4,259,75,0,95,1,-0.1843205599163621,9.550765714714908,Low,Normal
EVT000019,2026-08-11 20:09:01.735196,Brute Force,Oceania,Server,3,895,32,0,349,1,-0.1916291917608336,7.605887327372948,Low,Normal
EVT000020,2026-08-11 20:17:01.735196,Phishing,Africa,Laptop,5,476,31,0,125,1,-0.18760023727508252,8.678020480289797,Low,Normal
EVT000021,2026-08-11 20:25:01.735196,DDoS,Asia,Firewall,2,510,13,0,234,1,-0.19409006518949157,6.951031583202257,Low,Normal
EVT000022,2026-08-11 20:33:01.735196,Ransomware,North America,Laptop,1,926,36,0,242,1,-0.1659213205355331,14.446932846511787,Low,Normal
EVT000023,2026-08-11 20:41:01.735196,Ransomware,South America,Desktop,1,541,56,0,304,1,-0.19670575991091144,6.254976803069627,Low,Normal
