event_id,timestamp,threat_type,region,device_type,failed_logins,network_packets,connections,port_scans,data_transfer
EVT000001,2026-08-11 17:45:01.735196,Malware,Oceania,Desktop,4,566,91,0,97
EVT000002,2026-08-11 17:53:01.735196,Phishing,Oceania,Server,1,230,26,0,353
EVT000003,2026-08-11 18:01:01.735196,Unauthorized Access,North America,Firewall,2,376,37,0,31
EVT000004,2026-08-11 18:09:01.735196,Malware,North America,Laptop,0,956,53,0,179
EVT000005,2026-08-11 18:17:01.735196,Unauthorized Access,North America,Firewall,0,799,84,0,455
EVT000006,2026-08-11 18:25:01.735196,Brute Force,Oceania,Firewall,3,230,55,0,338
EVT000007,2026-08-11 18:33:01.735196,DDoS,Africa,Desktop,3,876,94,0,349
EVT000008,2026-08-11 18:41:01.735196,Malware,Europe,Router,4,180,40,0,397
EVT000009,2026-08-11 18:49:01.735196,Phishing,Europe,Desktop,3,802,22,0,171
EVT000010,2026-08-11 18:57:01.735196,DDoS,North America,Desktop,4,351,66,0,217
EVT000011,2026-08-11 19:05:01.735196,Unauthorized Access,Asia,Server,5,256,19,0,354
EVT000012,2026-08-11 19:13:01.735196,Unauthorized Access,North America,Router,3,238,85,0,428
EVT000013,2026-08-11 19:21:01.735196,Ransomware,Oceania,Firewall,2,140,32,0,337
EVT000014,2026-08-11 19:29:01.735196,Ransomware,Africa,Laptop,1,602,27,0,302
EVT000015,2026-08-11 19:37:01.735196,Malware,Oceania,Laptop,4,561,7,0,227
EVT000016,2026-08-11 19:45:01.735196,Malware,Europe,Server,2,306,19,0,389
EVT000017,2026-08-11 19:53:01.735196,DDoS,Oceania,Desktop,1,842,56,0,397
EVT000018,2026-08-11 20:01:01.735196,Ransomware,Europe,Desktop,4,259,75,0,95
EVT000019,2026-08-11 20:09:01.735196,Brute Force,Oceania,Server,3,895,32,0,349
EVT000020,2026-08-11 20:17:01.735196,Phishing,Africa,Laptop,5,476,31,0,125
EVT000021,2026-08-11 20:25:01.735196,DDoS,Asia,Firewall,2,510,13,0,234
EVT000022,2026-08-11 20:33:01.735196,Ransomware,North America,Laptop,1,926,36,0,242
EVT000023,2026-08-11 20:41:01.735196,Ransomware,South America,Desktop,1,541,56,0,304
EVT000024,2026-08-11 20:49:01.735196,Unauthorized Access,Oceania,Desktop,2,180,63,0,139
EVT000025,2026-08-11 20:57:01.735196,DDoS,South America,Router,1,835,5,0,139
EVT000026,2026-08-11 21:05:01.735196,Phishing,Europe,Firewall,4,283,21,0,289
EVT000027,2026-08-11 21:13:01.735196,Brute Force,Africa,Router,5,286,74,0,268
EVT000028,2026-08-11 21:21:01.735196,DDoS,Asia,Laptop,2,610,23,0,208
EVT000029,2026-08-11 21:29:01.735196,Phishing,Africa,Router,2,437,5,0,450
EVT000030,2026-08-11 21:37:01.735196,Malware,North America,Laptop,3,863,20,0,69
EVT000031,2026-08-11 21:45:01.735196,Brute Force,South America,Firewall,5,332,23,0,140
EVT000032,2026-08-11 21:53:01.735196,DDoS,Africa,Router,8,572,29,0,393
EVT000033,2026-08-11 22:01:01.735196,Unauthorized Access,North America,Server,4,679,37,0,313
EVT000034,2026-08-11 22:09:01.735196,Unauthorized Access,Asia,Desktop,5,982,90,0,247
EVT000035,2026-08-11 22:17:01.735196,DDoS,Europe,Router,5,708,32,0,490
EVT000036,2026-08-11 22:25:01.735196,Brute Force,Oceania,Desktop,73,14435,457,1,1176
EVT000037,2026-08-11 22:33:01.735196,Phishing,Africa,Server,5,706,64,0,200
EVT000038,2026-08-11 22:41:01.735196,Ransomware,Oceania,Firewall,2,422,22,0,232
EVT000039,2026-08-11 22:49:01.735196,Phishing,Asia,Laptop,3,953,27,0,164
EVT000040,2026-08-11 22:57:01.735196,Unauthorized Access,North America,Firewall,3,345,52,0,179
EVT000041,2026-08-11 23:05:01.735196,Malware,North America,Desktop,8,499,18,0,480
EVT000042,2026-08-11 23:13:01.735196,Ransomware,Europe,Server,0,453,70,0,456
EVT000043,2026-08-11 23:21:01.735196,Unauthorized Access,North America,Server,0,764,62,0,134
EVT000044,2026-08-11 23:29:01.735196,Malware,Africa,Laptop,3,882,58,0,110
EVT000045,2026-08-11 23:37:01.735196,DDoS,Africa,Laptop,4,976,98,0,320
EVT000046,2026-08-11 23:45:01.735196,Unauthorized Access,South America,Laptop,1,469,34,0,129
EVT000047,2026-08-11 23:53:01.735196,Brute Force,Oceania,Laptop,2,840,94,1,288
EVT000048,2026-08-12 00:01:01.735196,DDoS,Oceania,Desktop,2,733,5,0,105
EVT000049,2026-08-12 00:09:01.735196,Unauthorized Access,South America,Server,6,889,97,0,85
EVT000050,2026-08-12 00:17:01.735196,Malware,Asia,Server,2,384,82,0,56
EVT000051,2026-08-12 00:25:01.735196,Phishing,Africa,Laptop,0,849,66,0,213
EVT000052,2026-08-12 00:33:01.735196,Brute Force,Oceania,Server,62,12421,656,1,722
EVT000053,2026-08-12 00:41:01.735196,Malware,Asia,Server,0,857,73,0,189
EVT000054,2026-08-12 00:49:01.735196,Ransomware,Oceania,Router,5,891,84,0,485
EVT000055,2026-08-12 00:57:01.735196,Phishing,Oceania,Firewall,5,790,47,0,332
EVT000056,2026-08-12 01:05:01.735196,Phishing,South America,Router,3,111,99,0,262
EVT000057,2026-08-12 01:13:01.735196,Malware,Oceania,Router,2,875,97,0,99
EVT000058,2026-08-12 01:21:01.735196,DDoS,South America,Server,2,925,79,0,429
EVT000059,2026-08-12 01:29:01.735196,Brute Force,North America,Server,5,198,40,0,496
EVT000060,2026-08-12 01:37:01.735196,Ransomware,North America,Laptop,4,378,93,0,295
EVT000061,2026-08-12 01:45:01.735196,Unauthorized Access,South America,Laptop,5,495,65,0,85
EVT000062,2026-08-12 01:53:01.735196,Ransomware,South America,Laptop,5,168,16,0,388
EVT000063,2026-08-12 02:01:01.735196,Malware,South America,Firewall,3,792,46,1,407
EVT000064,2026-08-12 02:09:01.735196,Brute Force,Africa,Server,4,687,13,0,410
EVT000065,2026-08-12 02:17:01.735196,Phishing,Europe,Router,1,752,44,0,443
EVT000066,2026-08-12 02:25:01.735196,Phishing,South America,Server,3,747,69,0,154
EVT000067,2026-08-12 02:33:01.735196,Malware,South America,Desktop,4,544,58,0,211
EVT000068,2026-08-12 02:41:01.735196,DDoS,Asia,Router,2,752,96,0,157
EVT000069,2026-08-12 02:49:01.735196,Brute Force,Africa,Router,1,460,43,0,470
EVT000070,2026-08-12 02:57:01.735196,Ransomware,Europe,Server,2,508,60,0,126
EVT000071,2026-08-12 03:05:01.735196,Unauthorized Access,North America,Desktop,1,771,49,0,158
EVT000072,2026-08-12 03:13:01.735196,Unauthorized Access,South America,Firewall,0,312,79,0,173
EVT000073,2026-08-12 03:21:01.735196,Unauthorized Access,Europe,Server,6,985,7,0,450
EVT000074,2026-08-12 03:29:01.735196,Malware,Europe,Server,3,507,32,0,131
EVT000075,2026-08-12 03:37:01.735196,Brute Force,Europe,Router,2,277,32,0,50
EVT000076,2026-08-12 03:45:01.735196,Unauthorized Access,Europe,Firewall,2,300,37,0,470
EVT000077,2026-08-12 03:53:01.735196,Unauthorized Access,North America,Router,6,549,14,0,251
